id,value,min,max
Vmax_0001,54.1366,10.8273,270.683
Keq_0001,10.54,2.108,52.7
Km0025_0001,0.1,0.02,0.5
Km0709_0001,0.1,0.02,0.5
Km0710_0001,0.1,0.02,0.5
Km1399_0001,0.527,0.1054,2.635
Vmax_0004,29.8937,5.97873,149.468
Keq_0004,10.54,2.108,52.7
Km0063_0004,0.1,0.02,0.5
Km0709_0004,0.1,0.02,0.5
Km0710_0004,0.1,0.02,0.5
Km1399_0004,0.527,0.1054,2.635
Vmax_0005,2.19274,0.438548,10.9637
Keq_0005,0.120771,0.0241542,0.603854
Km1543_0005,0.467,0.0934,2.335
Km0002_0005,0.1,0.02,0.5
Km1538_0005,0.282,0.0564,1.41
Vmax_0007,0.0865555,0.0173111,0.432777
Keq_0007,2,0.4,10
Km0077_0007,0.1,0.02,0.5
Km0312_0007,0.1,0.02,0.5
Vmax_0008,0.0168599,0.00337197,0.0842993
Keq_0008,2,0.4,10
Km0082_0008,0.1,0.02,0.5
Km0380_0008,0.1,0.02,0.5
Km0529_0008,0.1,0.02,0.5
Km1331_0008,0.1,0.02,0.5
Vmax_0012,0.347376,0.0694752,1.73688
Keq_0012,11.6114,2.32229,58.0572
Km0991_0012,0.298,0.0596,1.49
Km1203_0012,0.0867,0.01734,0.4335
Km0118_0012,0.1,0.02,0.5
Km1198_0012,1.5,0.3,7.5
Vmax_0014,0.00173111,0.000346222,0.00865555
Keq_0014,0.2,0.04,1
Km0142_0014,0.1,0.02,0.5
Km0313_0014,0.1,0.02,0.5
Km0419_0014,0.1,0.02,0.5
Vmax_0015,0.00242355,0.000484711,0.0121178
Keq_0015,2,0.4,10
Km0141_0015,0.1,0.02,0.5
Km1212_0015,0.1,0.02,0.5
Km0142_0015,0.1,0.02,0.5
Km1207_0015,0.1,0.02,0.5
Vmax_0016,0.463168,0.0926336,2.31584
Keq_0016,0.379507,0.0759013,1.89753
Km0178_0016,0.1,0.02,0.5
Km1399_0016,0.527,0.1054,2.635
Km0039_0016,0.1,0.02,0.5
Km0456_0016,0.1,0.02,0.5
Vmax_0018,0.643588,0.128718,3.21794
Keq_0018,1.1745,0.234899,5.87248
Km0176_0018,0.1,0.02,0.5
Km0991_0018,0.298,0.0596,1.49
Km0180_0018,0.175,0.035,0.875
Km0953_0018,0.1,0.02,0.5
Vmax_0020,0.642242,0.128448,3.21121
Keq_0020,1.30719,0.261438,6.53595
Km0551_0020,0.1,0.02,0.5
Km1360_0020,0.153,0.0306,0.765
Km0349_0020,0.1,0.02,0.5
Km1322_0020,0.1,0.02,0.5
Vmax_0023,0.288518,0.0577036,1.44259
Keq_0023,2,0.4,10
Km0162_0023,0.1,0.02,0.5
Km0165_0023,0.1,0.02,0.5
Vmax_0024,0.673209,0.134642,3.36605
Keq_0024,2,0.4,10
Km0232_0024,0.1,0.02,0.5
Km0373_0024,0.1,0.02,0.5
Km0162_0024,0.1,0.02,0.5
Km0529_0024,0.1,0.02,0.5
Vmax_0027,0.275823,0.0551647,1.37912
Keq_0027,2,0.4,10
Km0835_0027,0.1,0.02,0.5
Km0454_0027,0.1,0.02,0.5
Vmax_0029,0.480864,0.0961727,2.40432
Keq_0029,0.2,0.04,1
Km0010_0029,0.1,0.02,0.5
Km0291_0029,0.1,0.02,0.5
Km0456_0029,0.1,0.02,0.5
Vmax_0032,0.178689,0.0357378,0.893445
Keq_0032,0.88,0.176,4.4
Km0390_0032,0.1,0.02,0.5
Km0423_0032,0.44,0.088,2.2
Km1322_0032,0.1,0.02,0.5
Vmax_0038,0.00346222,0.000692444,0.0173111
Keq_0038,0.2,0.04,1
Km0577_0038,0.1,0.02,0.5
Km0158_0038,0.1,0.02,0.5
Km0722_0038,0.1,0.02,0.5
Vmax_0039,0.275246,0.0550493,1.37623
Keq_0039,2,0.4,10
