time,c_05,c_04,c_03,c_02,c_01,c_29,c_27,c_21,c_15,c_13,c_30,c_32,c_11
0,29.54174187,5110.119691,4999.956639,1.056682831,449958.4343,1009.945764,988.3517969,996.1405443,839.7703035,3314.558385,2968.296835,1016.447754,1029.663149
23.9759,29.06135825,4427.537773,4990.471667,19033.05068,499628.9405,514.889607,1883.981851,4115.730274,443.5222307,3298.082924,3588.716676,701.1769714,841.6656476
48.4337,31.56920926,4649.633023,4706.446115,29713.37459,498137.7445,614.0882509,1999.234422,5088.17481,457.2654501,3144.678363,3524.003949,534.3245626,898.4469128
72.8916,32.58992629,4642.175831,4703.420191,52653.84782,469436.4399,667.144403,1977.174384,4941.17988,452.1008571,3343.981672,3274.933898,637.1604048,748.7508252
90.3614,32.93492455,4581.482695,4580.779761,62491.60793,458816.0559,706.4697945,2027.556359,5561.084132,416.1288178,3305.264733,3377.224218,608.6810043,760.8237877
115.984,33.80995822,4231.998041,4576.568758,71665.49964,441725.8779,748.837145,1834.640732,4711.566421,433.6235068,2664.13707,3359.281519,608.5031107,746.0614226
140.442,34.67192676,4609.073999,4388.444795,93744.69241,371353.6441,761.4219172,1741.34438,4466.968205,471.9681186,3276.842196,3268.007202,609.2855454,770.8013591
164.9,35.64086504,4379.397091,4823.258118,96012.12538,409872.6888,913.9581526,2054.553359,4841.62543,462.4384044,3326.232934,3375.331315,657.6144762,747.1622156
210.321,35.1073701,4047.37735,4757.799632,131633.9417,429309.5792,838.4429003,2023.441102,4741.87247,463.3431076,2838.535673,3344.113884,606.0191858,696.1165299
233.614,34.78766884,4354.532227,4267.505383,139701.0391,377830.4707,864.115653,2012.727053,4982.305375,451.6411544,3445.146289,3384.49464,596.595147,747.4997328
258.072,35.10275329,3893.078648,3946.812817,156106.4324,376607.9654,1019.41341,2077.935601,4932.876021,432.2633547,3185.845081,3123.317817,606.9552722,742.2563724
282.53,39.16229127,4223.934695,4229.786474,189350.8377,350136.0051,945.7524046,2018.02482,4965.805674,459.569613,3248.126308,3303.223152,634.2843344,740.5121927
300,39.36873083,3819.952372,3226.591797,170253.9838,362466.0386,962.815767,2167.954632,4922.316021,461.1326466,3189.167366,3335.671338,664.509921,757.3732437
