Productprotein,L-Methionine,L-Leucine,L-Lactate,beta-D-Glucose,L-Aspartate,L-Malate,Pyruvate,Oxaloacetate,ATP,ATP,ADP,ADP_c
Time,f,f,f,f,f,c,c,c,m,c,m,m,c
min,mumol/l_fermenter,mumol/l_fermenter,mumol/l_fermenter,mumol/l_fermenter,mumol/l_fermenter,mumol/l_cell,mumol/l_cell,mumol/l_cell,mumol/l_cell,mumol/l_cell,mumol/l_cell,mumol/l_cell,mumol/l_cell
0,0.916516259,220.2393825,0.086722941,0.113365662,100083.1314,19.8915281,23.29640617,7.718911471,320.4593929,629.11677,63.40633065,32.89550786,59.32629796
23.9759,3.42708349,859.4844544,266.3833335,524.0986472,27089.88103,72.52278599,1.363702921,13.17945154,67.9675385,110.2258472,512.6933529,67.11194286,169.2792952
48.4337,0.072781474,197.1939541,83.56777088,13530.25082,50101.48902,8.871498249,109.6688443,1402.38962,25.79309975,208.3432738,361.1878982,244.5448747,294.6078256
72.8916,0.345652583,11.22833874,111.2603823,145.6956478,17694.8798,11.00519392,1.408768357,800.1597591,29.84428584,184.2633444,149.0122046,26.80319038,1.191650429
90.3614,0.103150906,5.585389682,4.179521469,2222.584132,13862.11186,0.953588928,72.01271842,1881.128264,99.10036436,104.3694651,49.86843658,78.08799131,27.79957543
115.984,0.003516434,495.8039179,193.3375168,15030.00072,4663.755834,0.759709907,343.8585363,3.332842875,61.44498639,1179.74586,8.403037386,72.83977854,0.150845275
140.442,0.186053515,442.6879971,1.429589001,515.5848117,112764.7117,48.67616557,548.4312396,616.2835899,16.98823721,45.18439211,177.4455966,67.99290924,50.07871826
164.9,0.604730081,164.3741824,1052.096236,22589.74924,12874.62245,190.2563052,67.32671764,29.79086077,0.791191271,144.5058684,35.34263088,30.52495245,2.300431195
210.321,3.228859795,170.8252992,1250.019264,372.1165486,67335.15833,70.03419938,0.977796603,311.3950597,2.654215273,828.1886549,27.87223266,71.86362837,102.5249403
233.614,5.262062329,608.8844539,434.830766,8311.921766,14941.05855,69.51269399,20.40589406,115.4107506,20.1576913,387.132577,53.48928055,91.2997059,1.854534475
258.072,6.079093429,142.482705,35.01436682,49.13512714,3973.930766,190.684819,114.9912025,29.80795876,58.42129056,128.8298377,467.6643662,71.7674556,14.94525519
282.53,0.608382544,688.7293909,700.4329474,42607.67548,27959.98971,4.487190854,2.669639537,1.328651269,3.420773959,1.32738423,106.1736951,18.79533114,21.39761464
300,0.008461654,0.624744428,1186.096406,12180.03246,11498.07728,3.204466046,309.209264,110.2279582,0.074706795,116.9052678,39.83732302,40.18584194,10.01248736
